trades,sessions,win_rate,avg_r,expectancy_usd,total_usd,profit_factor,max_dd_usd,t_stat_r,leg,filter,split,config
60,60.0,0.3333333333333333,-0.027378531521963404,-30.208333333333332,-1812.5,0.9290606653620352,-6640.0,-0.1335178643063891,ES,or_width_rel_narrow,OOS,OR15m/cut1100/exit1559/TE/both/follow
166,166.0,0.39156626506024095,0.10104280264817697,71.67168674698796,11897.5,1.1392293964483193,-12305.0,0.7889060401017526,ES,or_width_rel_typical,full,OR15m/cut1100/exit1559/TE/both/follow
98,98.0,0.3877551020408163,0.12036208963718982,107.5765306122449,10542.5,1.236777091521617,-11952.5,0.7407212397232643,ES,or_width_rel_typical,IS,OR15m/cut1100/exit1559/TE/both/follow
68,68.0,0.39705882352941174,0.07320030081107028,19.926470588235293,1355.0,1.0331073239264552,-6907.5,0.3509291097579737,ES,or_width_rel_typical,OOS,OR15m/cut1100/exit1559/TE/both/follow
154,154.0,0.4025974025974026,-0.03836544059593765,-115.56818181818181,-17797.5,0.8643405682489471,-48090.0,-0.36482153215519625,ES,or_width_rel_wide,full,OR15m/cut1100/exit1559/TE/both/follow
98,98.0,0.41836734693877553,0.043433698943369,14.591836734693878,1430.0,1.0180658202261386,-30835.0,0.3085068788631486,ES,or_width_rel_wide,IS,OR15m/cut1100/exit1559/TE/both/follow
56,56.0,0.375,-0.1815139347897243,-343.3482142857143,-19227.5,0.6305068460245016,-27405.0,-1.2009998390066012,ES,or_width_rel_wide,OOS,OR15m/cut1100/exit1559/TE/both/follow
160,161.0,0.3875,0.013756751181194238,23.984375,3837.5,1.0552197999856106,-12955.0,0.11502552098433691,ES,or_volume_rel_quiet,full,OR15m/cut1100/exit1559/TE/both/follow
90,91.0,0.36666666666666664,-0.00047269576136885265,38.05555555555556,3425.0,1.0890651410739827,-11715.0,-0.0028915266395804504,ES,or_volume_rel_quiet,IS,OR15m/cut1100/exit1559/TE/both/follow
70,70.0,0.4142857142857143,0.0320517543930611,5.892857142857143,412.5,1.0132893041237114,-9915.0,0.18201299598989049,ES,or_volume_rel_quiet,OOS,OR15m/cut1100/exit1559/TE/both/follow
