direction,streak,horizon,n,mean_bps,win_rate,base_bps,excess_bps,t_vs_base
up,11,10,10275,24.361056456448487,0.5574695863746959,45.95939443044815,-21.59833797399966,-2.3155331143092472
up,12,10,11857,-4.3130453873259755,0.6027662983891372,45.95939443044815,-50.27243981777412,-5.935375404244351
up,2,20,7560336,70.12688083536423,0.5253103830305955,86.43639031917714,-16.3095094838129,-27.99918474158212
up,3,20,3447129,69.76293207077927,0.5322391474180398,86.43639031917714,-16.673458248397864,-20.267449311847344
up,4,20,1628592,68.69569453665233,0.5387623173882716,86.43639031917714,-17.74069578252481,-15.365677915271544
up,5,20,779719,70.10343682763374,0.5461903583213953,86.43639031917714,-16.332953491543382,-10.164923181393224
up,6,20,378351,61.50855473089198,0.5456705545908429,86.43639031917714,-24.92783558828515,-11.129472464740802
up,7,20,181482,63.84761086986342,0.5502639380214016,86.43639031917714,-22.588779449313705,-7.123513694688383
up,8,20,87471,59.22424598497085,0.5556698791599501,86.43639031917714,-27.21214433420628,-6.025802288267653
up,9,20,42875,65.20412120397181,0.5697026239067056,86.43639031917714,-21.232269115205323,-3.3314027355637816
up,10,20,21021,61.74828848364682,0.5675277103848533,86.43639031917714,-24.688101835530315,-2.7004338769919083
up,11,20,10260,70.7888112375858,0.5721247563352827,86.43639031917714,-15.64757908159133,-1.1745606578964403
up,12,20,11837,21.628077584143185,0.6032778575652614,86.43639031917714,-64.80831273503395,-5.329925951562276
